Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
3Cnergy,502,CNER.SI,79.743,0.12,,,Real Estate,62,23.81,420,420,333.33,-32085.83,-59.58,,75.4,-54.89,0.4
8Telecom,AZG,ETEL.SI,7.902,0.802,,,Technology Equipment,57,0,0,0,115.63,-65.84,,,,-26.76,
A-Smart,BQC,ASMA.SI,39.905,7.119,,,Industrial & Commercial Services,28,0,-10.14,1.64,-15.07,-28.07,-15.77,,8.23,0.47,5.89
A-Sonic Aero,BTJ,ASON.SI,12.281,290.416,3.42,4.76,Transportation,61,-8.7,-33.33,-39.13,0,1.52,8.81,1.73,19.55,-6.33,0.33
AA,5GZ,AAGH.SI,14.247,23.9,,,Technology Equipment,54,0,-11.11,-11.11,14.29,-24.81,-10.26,,7.78,21.98,0.56
ABR,533,ABRH.SI,116.578,121.133,62.17,2.59,Food & Beverages,67,-10.77,-17.14,-17.14,-27.5,1.99,2.07,2.83,0.73,-3.1,1.6
Abterra,L5I,ABTR.SI,13.699,107.741,,,Energy - Fossil Fuels,-6,,,,,8.09,6.48,1.57,0.95,-67.62,
Abundance Intl,541,ABUN.SI,16.069,510.9,,,Industrial & Commercial Services,71,127.27,150,177.78,-21.88,-0.69,-12.58,,35.35,-12.8,
Accordia Golf Tr,ADQU,ACCO.SI,664.969,674.478,,7.83,Cyclical Consumer Services,77.7,6.14,-1.63,-13.57,3.42,-23.69,-16.47,,57.72,2.37,0.54
Accrelist Ltd,QZG,ACCR.SI,9.212,160.253,,,Technology Equipment,,10,-28.26,-58.75,-45,-1.14,-3.27,5.92,27.22,-0.39,0.69
Ace Achieve Info,A75,ACEA.SI,5.976,36.661,,,Technology Equipment,42,,,,,2.42,0.99,3.95,39.82,-33.16,0.13
Acesian Partners,5FW,ACES.SI,3.489,12.252,,,Industrial & Commercial Services,46,0,-46.15,-36.36,-56.25,-58.56,-74.24,,3.71,-40.36,0.45
Acma,AYV,ACMA.SI,4.281,90.408,,,Industrial Goods,62,-0.98,-0.98,-2.88,-46.84,-12.81,-49.73,,65.29,-10.15,0.35
Acromec,43F,ACRO.SI,6.928,31.564,,,Industrial & Commercial Services,46,-33.33,-16.67,-36.71,-46.81,-1.35,-6.59,24.69,49.23,0.39,2.28
Addvalue Tech,A31,AVAU.SI,48.631,6.593,,,Technology Equipment,46,18.18,0,4,18.18,-68.94,-63.67,,59.31,34.25,6.16
Advanced,BLZ,ADVA.SI,6.211,91.438,,,Energy - Fossil Fuels,61,20,-57.14,-53.13,-60.78,-3.19,-5.16,,15.21,48.05,0.34
Advanced Systems,5TY,ADSA.SI,22.324,13.711,,,Technology Equipment,51,0,0,0,0,-28.85,-100.52,,35.85,-15.52,3.65
Advancer Global,43Q,ADVN.SI,32.807,70.944,69.52,3.08,Industrial & Commercial Services,65,0,0,-16.13,-23.53,0.62,1.08,11.55,2.71,5.44,1.26
Adventus,5EF,ADVE.SI,11.704,0,,,Industrial Goods,50,20,0,50,50,,-5.68,,0,,1.12
AEI,AWG,AEIC.SI,51.959,9.076,,,Mineral Resources,61,0,0.56,-6.25,42.86,-64.51,-12.02,,5.23,-3.62,0.9
AEM,AWX,AEM.SI,845.172,323.13,15.82,1.67,Technology Equipment,79,24.9,43.66,70,253.76,16.33,47.14,14.36,0.29,23.18,2.48
AF Global,L38,AFGL.SI,110.842,28.266,,4.76,Cyclical Consumer Services,73,-8.7,-30,-27.08,-26.06,-1.31,-0.63,31.31,16.51,-16.59,0.4
AGV,1A4,AGVG.SI,4.091,12.197,,,Mineral Resources,44,10,0,-26.67,100,-44.53,,,,291.56,
AIMS APAC Reit,O5RU,AIMA.SI,897.461,118.86,10.36,6.29,Real Estate,82.9,10.43,-9.29,-11.19,-8.63,71.95,9.08,,53.57,0.66,1.06
AIMS Property,BVP,APW.AX,55.977,11.336,5.66,1.61,Real Estate,,0.8,-11.31,-14.92,-15.77,87.23,8.93,,0,-16.82,0.66
AliPictures HKD,S91,ALIB.SI,25212.693,3119.285,,,Cyclical Consumer Services,,0,0,-10.69,-24.03,-40.55,-8,,4.91,-5.25,
Alita Resources,40F,ALIT.SI,115.161,68.226,,,Mineral Resources,48,0,0,0,-55.68,-69.42,-43.51,,15,,6.13
Alliance HC,MIJ,ALLA.SI,40.954,40.302,28.22,,Healthcare Services,,0,-1.01,45.93,,4.35,,12.76,,,
Allied Tech,A13,ALLT.SI,19.474,129.84,,,Industrial Goods,30,0,0,0,0,-22.35,-33.15,,13.36,4.27,0.19
Alpha Energy,5TS,ALPH.SI,72.178,0.588,,,Energy - Fossil Fuels,56,0,0,0,-8.05,-23280.45,-265.33,,14.81,,0.57
Amara,A34,AMRA.SI,207.697,105.427,7.39,2.78,Cyclical Consumer Services,73,0,-11.11,-20.88,-22.58,26.73,7.02,5.29,83.9,1.22,0.59
Amcorp Global,S9B,AMCO.SI,79.991,81.992,,2.23,Real Estate,89,0,0.56,19.33,5.29,-39.1,-23.19,,155.98,-30.67,
AMOS,RF7,AMOS.SI,51.947,131.549,,,Industrial Goods,51,0,-42.86,0,-42.86,-25.52,-30.44,,41.92,33.52,0.87
Amplefield Ltd,AOF,AMPL.SI,29.72,7.137,19.53,,Real Estate,62,3.13,-25,26.92,106.25,22.5,2.34,18.01,4.92,-35.66,0.38
AMTD IB OV,HKB,,,,,,,,,,,,,,,,,
AnAn Intl,Y35,ANAN.SI,12.7,2340.01,,,Energy - Fossil Fuels,32,-25,50,50,0,-0.04,-3.65,1.23,95.29,-16.21,0.22
Anchor Resources,43E,ANCH.SI,6.221,1.531,,,Mineral Resources,57,-16.67,-37.5,-28.57,-44.44,-336.7,-188.58,,235.18,150.03,6.29
Anchun Intl,BTX,ANIH.SI,12.625,33.921,5.44,9.67,Industrial Goods,77,13.64,4.17,-5.66,31.58,6.79,4.01,2.85,0,53.77,0.16
AnnAik,A52,AAIK.SI,20.491,52.299,8.63,4.29,Mineral Resources,49,1.45,16.67,9.38,,6.65,3.75,3.26,58.67,-7.87,0.57
Annica,5AL,ANHL.SI,16.675,9.081,,,Energy - Fossil Fuels,44,0,0,0,0,-4.04,-10.63,,36.7,49.43,3.82
Aoxin Q & M,1D4,AOXI.SI,45.026,27.992,,,Healthcare Services,56,-11.94,-21.33,-34.44,-37.89,-9.58,-5.63,54.67,0.38,,1.8
AP Oil,5AU,AOIL.SI,26.16,62.841,11.14,4.72,Chemicals,67,4.61,-9.14,-8.09,-20.1,3.74,4.22,6.89,2.49,-19.82,0.57
APAC Realty,CLN,APAC.SI,127.871,365.112,9.13,5.56,Real Estate,80,4.35,-22.58,-28,-28.71,3.8,9.71,7.52,40.2,-13.06,1.1
ARA HTrust USD,XZL,ARAU.SI,218.427,,,,Real Estate,,-9.41,-48.67,-54.97,-55.49,,,,,,
ARA LOGOS Log Tr,K2LU,ARAL.SI,562.204,113.555,,8.45,Real Estate,79.8,-4.63,-24.82,-27.97,-29.45,-6.74,-1.69,,57.71,-6.57,0.92
Arion Ent,YYB,ARIO.SI,4.361,0.975,,,Cyclical Consumer Services,,0,-22.22,16.67,-22.22,-132.92,-60.6,,0,-6.25,
Artivision Tech,5NK,ARTT.SI,5.393,0,,,Holding Companies,41,-25,-25,-25,-40,,,,,,
Ascendas Reit,A17U,AEMN.SI,11324.928,924.115,19.5,,Real Estate,88.4,5.39,2.29,5.03,8.45,57.56,6.94,,60.38,5.39,1.17
Ascendas-iTrust,CY6U,AINT.SI,1628.177,197.552,4.66,0.42,Real Estate,77.2,11.81,-13.94,-8.39,10.08,171.05,29.46,4.81,76.69,6.98,1.22
Ascott Trust,HMN,ASCO.SI,2970.898,514.955,10.64,7.46,Real Estate,,7.26,-18.64,-28.89,-23.2,42.01,5.39,12.98,62.66,0.13,0.77
Asia Enterprises,A55,AEHL.SI,44.449,40.245,65.33,,Mineral Resources,80,0,-14.47,-13.33,-10.34,1.25,0.72,13.03,0,6.41,0.57
Asia Fashion,BQI,ASFN.SI,5.728,4.197,,,Cyclical Consumer Products,32,,,,,-73.14,-56.47,,29.25,2424.82,2.46
Asia Vets,5RE,ASIV.SI,9.725,3.808,12.92,,Healthcare Services,50,11.11,-24.73,-46.15,-61.11,20.22,4.06,8.38,0,160.98,
AsiaMedic,505,ASIM.SI,11.196,18.99,,,Healthcare Services,61,-9.09,-9.09,-18.03,-11.2,-3.1,-14.36,5.87,84.71,0.86,1.87
Asian Healthcare,1J3,ASAI.SI,79.728,12.205,20.88,7.03,Healthcare Services,,5.71,-3.65,-19.57,-19.57,23.49,15.68,27.47,0,12.35,5.49
Asian Micro,585,AMHL.SI,4.261,4.353,15.38,,Industrial & Commercial Services,45,0,-33.33,0,-20,6.14,17.98,12.64,73.07,-7.67,
Asian Pay Tv Tr,S7OU,ASIA.SI,227.601,298.722,10.23,9.52,Cyclical Consumer Services,63.2,-3.08,-21.25,-26.32,-25.88,6.04,1.61,2.15,142.06,-3.65,0.17
Asian Pay Tv Tr R,QXOR,,,,,,,,,,,,,,,,,
Asian Pay Tv Tr R1,ERZR,,,,,,,,,,,,,,,,,
AsiaPhos,5WV,ASIP.SI,24.757,1.193,,,Mineral Resources,51,20,-7.69,166.67,242.86,-359.35,-5.89,,8.73,-90.15,0.1
Asiatic,5CR,ATIC.SI,9.339,42.764,,,Industrial Goods,44,0,-14.29,0,20,-45.37,-39.02,,43.23,16.46,0.21
Asiatravel.com,5AM,ATVE.SI,13.107,94.353,,,Software & IT Services,34,,,,,-34.11,-144.67,,4.91,-33.58,0.98
ASL Marine,A04,ASLM.SI,17.058,271.961,,,Industrial Goods,84,-12.9,-28.95,-30.77,-34.45,-50.97,-65.2,,163.7,-9.5,0.09
Aspen,1F3,ASPE.SI,72.765,93.857,13.06,,Real Estate,66,-7.5,-7.5,-33.33,-48.25,7.56,4.24,7.24,40.6,-49.48,0.93
Aspial,A30,ASPA.SI,307.452,560.242,24.09,4.75,Real Estate,62,-0.63,-1.25,1.94,-8.14,3.31,4.1,6.58,377.21,-37.64,1.39
Astaka,42S,ASTA.SI,164.51,91.204,,,Real Estate,74,0,0,0,,-34.19,-58.79,,5.26,19.11,2.51
ASTI,575,ATIH.SI,22.505,65.206,3.13,75.76,Technology Equipment,54,32,-10.81,22.22,3.13,31.09,9.73,0.8,7.67,2.85,0.52
Atlantic Nav,5UL,ATLA.SI,17.799,114.284,3.15,,Energy - Fossil Fuels,46,-27.66,-8.11,0,,4.94,4.65,0.93,98.33,30.65,
AusGroup,5GJ,AUSG.SI,76.206,281.984,,,Energy - Fossil Fuels,39,4.17,-37.5,-10.71,-10.71,-0.84,-2.73,13.52,86.53,-11.24,0.89
Avarga,U09,AVAR.SI,143.472,1403.873,4.39,23.18,Applied Resources,65,13.53,-0.66,-10.12,-20.53,2.89,15.83,2.45,75.46,-10.73,0.82
Avi-Tech,BKY,AVTH.SI,67.452,33.724,11.09,5.19,Technology Equipment,83,4.05,-3.75,6.94,45.47,17.61,12.1,9.25,0.19,9.95,1.08
AVJennings A$,A05,AVJ.AX,170.617,354.643,7.07,6.43,Real Estate,,12,-21.5,-29.41,-27.59,6.74,6.1,6.79,51.83,17.91,0.55
Axington,42U,AXIN.SI,23.246,8.412,25.98,,Industrial & Commercial Services,84,-14.71,7.41,126.56,,10.54,8.44,19.18,0,2.42,
Ayondo,1I5,AYON.SI,24.47,-0.347,,,Banking & Investment Services,,,,,,,,61.89,,-101.72,
Azeus,BBW,AZEU.SI,30.6,28.677,10.81,3.63,Software & IT Services,51,-0.97,7.37,0.99,,9.87,16.03,7.22,0,26.28,0.44
B&M Hldg,CJN,BMHL.SI,22.771,2.164,,1.62,Banking & Investment Services,59,0,0,,,-34.94,-8.01,,0,-5.55,
Baker Technology,BTP,BATE.SI,44.633,64.482,,2.27,Energy - Fossil Fuels,86,0,-35.29,-44.3,-50,-27.82,-4.37,89.09,5.67,97.18,0.39
Ban Leong,B26,BANL.SI,21.645,157.023,7.02,7.89,Technology Equipment,54,-5,-9.52,-24,-24,2.06,10.45,5.37,21.44,0.53,0.98
Banyan Tree,B58,BANY.SI,197.721,346.954,345.59,,Cyclical Consumer Services,85,-16.07,-32.86,-41.98,-53.47,0.73,0.1,7.54,84.46,5.44,0.75
BBR,KJ5,BBRS.SI,57.798,127.805,,,Industrial & Commercial Services,71,-11,18.67,11.25,7.88,-11.13,-10.02,,74.85,8.27,0.41
Beng Kuang,BEZ,BENK.SI,9.316,58.358,,,Industrial & Commercial Services,47,15,50,72.5,50,-7.05,-6.87,1.75,66.51,5.5,0.1
Berlian LajuTank,B66,BLTA.JK,1297009.375,327757.906,170.36,,Transportation,28,0,0,0,0,3.33,2.49,14.64,113.23,-11.2,
Best World,CGN,BEST.SI,753.973,445.437,8.07,0.88,Personal & Household Products & Services,33,0,0,0,0,20.54,41.25,7.7,5.15,50.95,6.47
BH Global,BQN,BHGC.SI,40.5,49.369,22.61,,Industrial Goods,68,50,32.35,82.43,68.75,2.33,4.57,16.24,58.49,22.16,
BHG Retail Reit,BMGU,BHGR.SI,300.599,79.058,6.25,6.56,Real Estate,89.5,-6.35,-6.35,-15.11,-16.9,79.18,11.53,4.79,54.13,13.48,0.88
Biolidics,8YY,BIOL.SI,106.747,1.438,,,Healthcare Services,,1.23,90.7,54.72,38.98,-334.45,-47.33,,0,13.42,4.25
BlackGoldNatural,41H,BLAC.SI,12.045,18.125,,,Energy - Fossil Fuels,26,0,-20,33.33,9.09,-46.91,-128.16,,78.45,143.2,0.97
Blumont,A33,BLUM.SI,27.571,4.298,100,,Industrial & Commercial Services,37,-50,-50,0,-50,4.7,5.72,31.48,169.29,9.67,24.68
BMM,I9T,BMMO.SI,3.706,,,,Renewable Energy,37,0,0,0,-12.5,,,,,,
Boldtek,5VI,BOLD.SI,20.419,76.98,49.55,,Real Estate,64,44.74,18.28,1.85,,0.51,1.43,15.8,79.35,-25.76,0.96
Bonvests,B28,BVHS.SI,333.259,227.777,87.28,,Cyclical Consumer Services,55,2.47,-27.83,-30.25,-35.16,1.91,0.43,9.64,36.18,1.35,0.57
Boustead,F9D,BTSS.SI,310.042,537.399,11.8,4.84,Industrial & Commercial Services,71,3.33,-14.48,-18.95,-21.02,7.18,7.85,6.04,24.5,35.35,1.2
Boustead Proj,AVM,BOUS.SI,236.8,281.627,10.42,2.03,Industrial & Commercial Services,72,-2.63,-17.78,-20.86,-24.11,7.86,8.01,7.8,29.43,62.25,0.99
BRC Asia,BEC,BRCA.SI,310.149,902.78,7.21,3.79,Cyclical Consumer Products,46,21.1,-17.67,-8.77,0.76,4.73,16.61,5.07,136.11,9.17,1.22
BreadTalk,CTN,BRET.SI,431.297,664.93,,1.31,Cyclical Consumer Services,73,0,0.66,24.39,-4.38,-0.58,-3.73,2.44,169.04,9.04,3.46
Broadway Ind,B69,BRWY.SI,54.742,329.758,,,Industrial Goods,59,50.65,52.63,81.25,110.91,-1.71,-7.68,6,45,-8.48,0.35
Brook Crompton,AWC,BROO.SI,30.495,46.697,7.89,2.33,Industrial Goods,70,0,7.5,-4.44,17.81,8.28,11.68,6.54,3.45,-1.99,0.8
Bukit Sembawang,B61,BSES.SI,1012.343,369.72,13.31,1.02,Real Estate,70,-0.26,-12.72,-19.05,-28.31,20.58,5.79,12.34,29.33,3.32,1.09
Bumitama Agri,P8Z,BUMI.SI,826.04,742.824,12.41,1.87,Food & Beverages,62,10.59,-19.66,-32.86,-30.37,10.93,8.66,5.98,67.22,-8.19,1.46
Bund Center,BTE,BCIL.SI,395.455,110.347,14.31,1.92,Real Estate,66,1.96,-5.45,-0.95,-3.7,25.78,6.34,8.56,0.04,-7.18,1
Camsing Hc,BAC,CAMS.SI,32.1,12.958,,,Retailers,31,,,,,-8.35,-8.52,,33.06,-29.07,
CapitaCom Trust,C61U,CACT.SI,6758.283,416.185,15.36,4.2,Real Estate,100.5,8.7,-5.91,-12.94,-10.26,105.01,6.25,15.45,38.31,4.75,1.07
Capital World,1D5,CAPI.SI,9.16,14.031,,,Real Estate,54,0,0,-44.44,-80.77,-181.37,-25.48,,13.39,-60.83,0.52
CapitaLand,C31,CATL.SI,14844.914,6234.764,6.63,,Real Estate,122,-3.99,-18.13,-21.47,-11.08,54.75,10.1,4.18,124.7,11.29,0.68
CapitaMall Trust,C38U,CMLT.SI,7491.014,798.31,10.74,4.06,Real Estate,99.5,7.41,-10.57,-19.44,-16.8,87.34,9.12,10.71,48.86,11.64,1.17
CapitaR China Tr,AU8U,CRCT.SI,1589.733,238.185,8.44,7.62,Real Estate,96.2,-3.7,-7.8,-18.24,-13.5,69.96,9.65,9.48,66.83,6.93,0.86
Captii,AWV,CAPT.SI,11.824,23.323,5.21,3.38,Telecommunications Services,68,8.82,8.82,-1.33,-7.5,12.35,5.61,2.96,3.78,-23.78,0.29
Casa,C04,CASA.SI,9.442,16.437,2.72,,Cyclical Consumer Products,31,0,-25,-22.41,-19.64,18.21,6.21,2.63,4.15,-12.2,0.33
CDL HTrust,J85,CDLT.SI,1155.8,196.872,10.27,7.32,Real Estate,86.9,-2.56,-31.16,-41.36,-41.36,57.93,6.09,9.17,54.74,-2.44,0.95
CDW,BXE,CDWH.SI,32.783,143.838,,11.58,Technology Equipment,68,2.36,-19.25,-27.78,-25.29,-2.83,-5.27,,14.76,12.46,0.52
CEI,AVV,CEII.SI,76.942,138.747,10.59,1.65,Technology Equipment,65,2.94,-9.79,-6.91,-3.34,5.16,18.09,8.45,18.91,-1.13,1.75
Centurion,OU8,CNCL.SI,311.088,133.353,3.11,5.41,Real Estate,80,-3.9,-16.85,-15.91,-10.84,77.83,18.18,2.91,145.55,11.06,0.69
CFM,5EB,CFMH.SI,2.821,18.114,,,Industrial Goods,69,0,0,-17.65,-12.5,-0.7,-1.15,3.34,58.17,-18.19,0.31
CH Offshore,C13,CHOF.SI,31.729,29.701,,,Energy - Fossil Fuels,68,80,-15.09,-11.76,-16.67,-67.1,-16.9,,10.16,116,
Challenger,573,CHAL.SI,163.974,329.57,9.3,3.16,Retailers,63,2.15,-5,-8.65,-13.64,5.37,18.09,4.75,0,2.94,1.76
Charisma Energy,5QT,CHAR.SI,27.313,18.864,,,Utilities,61,,,,,-200.97,,,947.86,-22.55,
Chasen,5NV,CHHL.SI,22.943,123.355,7.86,6.78,Transportation,63,28.26,-13.24,-14.49,-35.16,2.62,4.22,1.98,52.61,-6.29,0.42
ChasWood Res,5TW,CHAS.SI,2.354,0.9,,,Cyclical Consumer Services,41,,,,,8.7,,6.93,,-23.4,
Chemical Ind,C05,CHEM.SI,45.947,64.21,4.39,2.48,Chemicals,56,-3.97,-14.79,-15.97,-13.57,16.33,9.21,2.68,0.02,-11.85,0.52
Cheung Woh,C50,CHWO.SI,25.047,48.859,,1.88,Industrial Goods,40,-9.09,-33.88,-48.05,-34.43,-10.37,-6.47,12.25,6.94,-36.4,0.54
China Aviation,G92,CNAO.SI,944.14,28832.83,6.63,4.31,Energy - Fossil Fuels,85,5.83,-4.39,-12.1,-12.8,0.49,12.45,5.96,0,-1.3,0.87
China Env,5OU,CHEN.SI,32.396,31.629,,,Industrial & Commercial Services,59,,,,,-320.37,-76.12,,20.43,-60.02,0.69
China Env Res,RS1,1130.HK,116.083,96.812,,,Industrial & Commercial Services,,-5,-32.94,-33.72,-52.1,-78.14,-11.97,,2.94,-58.45,0.42
China Everbright,U9E,CEWL.SI,1210.253,1014.771,3.64,6.6,Utilities,63,-2.44,-35.48,-36.51,-45.95,15.94,9.93,6.74,95.21,16.41,0.58
China Fishery,B0Z,CNFG.SI,282.533,691.118,,,Food & Beverages,45,,,,,6.61,2.22,2.06,104.74,-20.31,0.5
China Great Land,D50,CHIG.SI,1.407,0,,,Cyclical Consumer Products,26,,,,,,,,,,
China Haida,C92,CHHA.SI,1.02,41.218,,,Mineral Resources,55,0,-20,0,-42.86,-24.98,-26.3,,9.85,-9.22,
China Hongxing,BR9,CHXS.SI,358.867,0,,,Cyclical Consumer Products,22,,,,,,,,,,
China Intl,BEH,CHNA.SI,13.534,13.974,36.21,,Industrial & Commercial Services,50,1.06,-7.32,-35.59,-57.78,10.67,0.63,3.74,13.95,0.65,0.46
China Jishan,J18,CJIS.SI,36.18,7.364,,16.08,Cyclical Consumer Products,33,0,0,-29.41,9.09,-149.99,-31.38,,168.41,-1.59,0.9
China Mining,BHD,CMIL.SI,5.868,0.998,,,Real Estate,59,0,-51.22,-52.38,-73.33,-464.85,-23.46,,0,-87.91,1.81
China Paper,C71,CPHL.SI,45.662,144.714,,,Applied Resources,26,,,,,-6.17,-2.86,4.53,0,-28.52,0.12
China Real Estate,5RA,CHIR.SI,17.824,,,,Real Estate,50,0,0,0,0,,,,2.42,,0.67
China Sky Chem,E90,CSKY.SI,25.155,315.326,,,Cyclical Consumer Products,12,,,,,-22.9,-17.16,,0,-24.79,
China Sports,FQ8,CSIL.SI,13.312,51.177,,,Cyclical Consumer Products,44,,,,,0.15,0.08,4.05,0,29.19,0.07
China Star Food,42W,CHIA.SI,13.658,73.63,11.93,,Food & Beverages,53,15,-4.17,-14.81,15,1.49,1.24,3.14,5.12,-7.03,0.07
China Taisan,AZW,CTTG.SI,1.619,23.511,,,Cyclical Consumer Products,28,,,,,19.19,8.34,0.22,14.14,-26.92,0.05
China Yuanbang,BCD,CYBP.SI,10.41,247.258,,,Real Estate,59,0,-21.47,-48.28,-62.03,-4.76,-8.26,,102.2,-25.56,0.15
ChinaKangdaFood,P74,0834.HK,173.179,1530.549,36.57,,Food & Beverages,56,9.59,-25.93,-42.86,-43.66,0.38,0.68,1.95,66.21,0.49,0.28
ChinaKundaTech,GU5,CKUN.SI,4.508,8.461,,,Automobiles & Auto Parts,59,37.5,37.5,22.22,57.14,-15.56,-12.89,,0,9.61,0.4
ChinaSunsine,QES,CHSN.SI,358.937,533.946,4.63,2.74,Chemicals,,-3.95,-15.12,-28.43,-37.61,14.45,15.92,3.6,0,-18.02,1.34
Chip Eng Seng,C29,CESE.SI,428.49,1055.045,10.62,7.69,Real Estate,62,0,-11.86,-16.8,-23.53,3.09,3.84,7.36,221.59,-2.33,0.51
Choo Chiang,42E,CHOO.SI,41.6,63.841,8.24,5,Industrial Goods,46,11.61,-19.19,-19.19,-30.1,7.89,11.01,6.78,4.46,-0.35,
Chuan Hup,C33,CHHS.SI,183.798,18.537,,5.05,Real Estate,52,1.54,-10,-15.74,-28,-181.88,-8.92,,2.6,111.8,0.49
Citicode,5FH,CITC.SI,41.317,21.092,100,,Mineral Resources,35,0,0,0,0,0.06,,,,-61.63,
CityDev,C09,CTDM.SI,6992.527,3428.725,13.02,1.82,Real Estate,117,-3.39,-21.29,-25.63,-7.01,17.89,5.37,7.98,63.02,-18.8,0.73
Civmec,P9D,CIVM.SI,182.865,315.058,15.92,1.92,Industrial & Commercial Services,63,0,-3.95,-6.41,15.87,3.62,6.91,8.64,85.68,-46.96,1.2
Clearbridge,1H3,CLEA.SI,116.913,21.533,,,Healthcare Services,80,9.55,43.38,41.3,25,-53.61,-21.46,,6.06,250.99,1.71
CNMC Goldmine,5TP,CNMC.SI,85.616,55.415,13.59,1.19,Mineral Resources,61,8.25,2.44,-14.29,5,14,10.28,5.94,1.88,-1.13,1.55
Colex,567,COLX.SI,26.505,66.847,10.65,2.25,Industrial & Commercial Services,52,0,5.26,2.56,-16.67,3.72,5.91,4.08,0.3,-3.54,0.79
Combine Will,N0Z,CWIHx.SI,32.327,322.712,3.26,5,Cyclical Consumer Products,57,11.11,-4.76,-2.91,0,3.05,8.35,1.44,52.36,23.22,
ComfortDelGro,C52,CMDG.SI,3119.6,3905.7,11.76,6.8,Transportation,103,-12.73,-26.15,-38.72,-41.7,8.15,10.18,4.19,21.81,2.64,1.78
Cordlife,P8A,CORD.SI,94.971,61.579,13.97,2.82,Healthcare Services,47,-5.33,-8.97,-21.98,-22.83,10.49,5.11,8.84,3.71,,0.78
Cortina,C41,CORT.SI,226.842,502.601,6.3,1.46,Retailers,66,17.09,-10.46,-8.67,18.04,7.6,18.33,3.7,17.45,6.69,0.96
COSCO SHP SG,F83,COSC.SI,459.045,171.495,62.12,,Transportation,42,-10.87,-22.64,-32.79,-31.67,4.49,1.38,10.36,33.67,4.78,1.4
CosmoSteel,B9S,COSM.SI,21.199,91.582,7.56,3.42,Mineral Resources,78,17.74,-6.41,-14.12,-25.51,3.07,3.75,3,39.63,11.35,0.31
Courage Inv,CIN,1145.HK,102.086,114.025,72.7,,Transportation,,15.53,6.29,-19.13,-45.29,1.22,0.41,10.42,33.46,20.65,0.52
CPH,539,CIPH.SI,6.146,-0.022,,,Real Estate,53,25,-16.67,0,-37.5,,-5.76,,12.33,96.62,0.55
Creative,C76,CREA.SI,162.75,80.372,,,Technology Equipment,59,-3.98,-17.49,-26.19,-36.92,-2.24,-1.25,,0,-3.12,1.93
CromwellReit EUR,CNNU,CROM.SI,1163.017,177.046,9.82,8.97,Real Estate,71.3,15.19,-14.15,-11.65,-8.08,61.59,8.96,,52.89,30.87,0.86
CromwellReit SGD,CSFU,,,,,,,,,,,,,,,,,
CSC,C06,CSCH.SI,42.067,329.054,,,Industrial & Commercial Services,54,-11.11,-20,-23.81,-5.88,-0.67,-2.49,1.67,81.88,1.62,0.44
CSE Global,544,CSES.SI,227.07,451.756,9.35,6.25,Software & IT Services,74,11.39,-15.38,-16.19,-6.38,5.29,13.97,6.05,21.11,20.96,1.15
CWX Global,594,CWXG.SI,7.8,5.031,,,Energy - Fossil Fuels,59,0,-33.33,-33.33,-33.33,-46.28,-2.97,,35.39,-49.89,0.19
DairyFarm USD,D01,DAIR.SI,5708.406,11192.3,17.64,4.98,Food & Drug Retailing,,-11.9,-12.08,-27.86,-44.76,2.9,27.73,4.3,407.74,-4.74,10.87
Darco Water Tech,BLR,DRWT.SI,15.951,75.94,,,Industrial & Commercial Services,55,30.77,29.77,-32,-58.54,-9.18,-14.31,,18.84,-9.41,
Dasin Retail Tr,CEDU,DASI.SI,522.146,76.007,,8.47,Real Estate,77,0.63,-1.23,-3.01,-8,-9.78,-0.89,,64.5,6.62,0.62
Datapulse Tech,BKW,DATA.SI,38.338,4.44,,2.86,Technology Equipment,-5,-5.41,-16.67,-16.67,-23.91,-26.96,-1.55,,0.02,5249.4,0.74
DBS,D05,DBSM.SI,49919.844,15592,7.9,6.32,Banking & Investment Services,125,-2.45,-19.25,-22.89,-20.85,42.67,12.59,7.19,100.54,13,1.23
Debao Property,BTF,DPDL.SI,9.6,29.022,,,Real Estate,15,37.63,82.86,34.74,70.67,-163.46,-27.44,,168.89,-12.77,
Del Monte Pac,D03,DMPL.SI,709.989,2724.846,,6.85,Food & Beverages,104,-3.74,-14.17,-24.82,-20.77,-3.76,-12.33,5.53,282.1,-4.88,0.33
Delfi,P34,DELF.SI,488.926,668.43,12.22,4.03,Food & Beverages,75,18.52,-15.79,-21.57,-37.01,5.98,13.02,8.29,28.63,10.46,2.87
Design Studio,D11,DESS.SI,21.602,114.686,,,Retailers,51,0,0,15.28,-20.19,-44.71,-91.81,,0,-30.12,0.86
DISA,532,DISA.SI,20.077,4.185,,,Industrial Conglomerates,63,0,100,0,-33.33,-518.35,-106.15,,0.6,910.87,0.97
DLF,KUX,DLFH.SI,22.405,1.005,,,Industrial & Commercial Services,,0,0,0,-2.63,-366.16,,,209.43,-93.84,
Don Agro,GRQ,DONA.SI,54.098,,,,Food & Beverages,,14.29,56.52,,,,,,,,
Dragon,MT1,DRGN.SI,1.431,2.911,,,Industrial Goods,64,,,,,827.56,517.12,0.06,,-24.79,
