Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Rich Capital,5G4,RICH.SI,22.028,0,,,Mineral Resources,35,0,0,0,-25,,-16,,39.34,,2.67
Riverstone,AP4,RVHL.SI,1655.668,322.37,38.87,1.1,Healthcare Services,80,90.6,116.5,134.74,143.72,13.19,17.41,28.48,2.82,7.38,3.61
Roxy-Pacific,E8Z,RXYP.SI,466.081,444.03,15.26,3.62,Real Estate,64,9.23,-2.74,-10.13,-7.79,6.56,6.02,12.1,210.13,233.79,1.02
Ryobi Kiso,BDN,RKHL.SI,41.464,146.908,,,Industrial & Commercial Services,66,,,,,-40.04,-96.83,,97.63,1.18,0.6
Sabana Reit,M1GU,SABA.SI,347.518,76.338,16.82,7.41,Real Estate,44.5,1.54,-26.67,-29.79,-21.43,27.06,3.44,,59.84,-5.71,0.68
Sakae,5DO,SAKA.SI,6.39,36.715,,,Cyclical Consumer Services,19,12.5,-43.75,-36.62,-66.67,-27.57,-32.02,,148.8,-21.56,
Samko Timber,E6R,SAMT.SI,40.412,382.019,93.66,,Applied Resources,57,-15,41.67,-22.73,-26.09,0.15,2.31,3.69,581.22,-9.15,4.34
SamuderaShipping,S56,SAMU.SI,69.009,529.791,12.42,,Transportation,73,0,-8.57,-15.79,-21.95,1.12,2.06,2.21,23.67,-11.49,0.35
Samurai,1C3,SAMR.SI,71.449,20.252,42.02,0.77,Chemicals,69,-7.14,-18.75,-18.75,-29.35,8.14,7.08,31.07,10.9,,6.51
Sanli Env,1E3,SANL.SI,15.582,63.648,29.74,4.31,Industrial & Commercial Services,63,16,-7.94,-24.68,-66.67,1.02,2.01,8.54,11.38,-20.02,
Santak,580,SATK.SI,8.606,13.152,,,Industrial Goods,37,0,-5.88,-19.19,,-14.56,-9.36,,1.12,-14.51,0.42
Sapphire,BRD,SAPP.SI,22.417,343.489,3.92,,Industrial & Commercial Services,67,27.91,1.85,-6.78,-51.75,1.55,4.86,1.27,55.7,-3.64,0.39
Sarine Tech,U77,SARI.SI,76.035,72.74,,4.17,Industrial Goods,34,-6.52,-31.75,-46.25,-23.21,-2.67,-2.19,17.75,0,-12.27,1.78
Sasseur Reit,CRPU,SASS.SI,958.943,114.924,7.73,6.67,Real Estate,45.2,8.84,1.27,-6.43,2.56,107.52,11.38,,46.57,-7.23,0.87
SATS,S58,SATS.SI,2989.99,1979.619,13.26,7.14,Transportation,115,-18.9,-34,-46.59,-47.12,11.93,13.94,8.67,6.04,11.22,3.24
SBI Offshore,5PL,SBIO.SI,7.99,0.01,,,Energy - Fossil Fuels,23,3.23,-17.95,-17.95,,-27057.14,-13.27,,0,-68.18,
SBS Transit,S61,SBVV.SI,842.035,1445.297,10.35,4.83,Transportation,87,-10.6,-18.43,-29.5,-32.5,5.62,15.86,4.54,15.05,4.46,1.69
Second Chance,528,SECD.SI,135.194,30.806,21.7,4.75,Retailers,74,1.13,-28.4,-15.76,-21.03,20.22,2.38,20.78,14.53,-4.24,0.62
Secura,43B,SECU.SI,31.6,38.704,,3.8,Industrial & Commercial Services,69,46.3,58,43.64,16.18,-11.52,-10.32,,23.93,-6.13,0.66
Sembcorp Ind,U96,SCIL.SI,2431.065,9619,9.9,3.68,Utilities,115,-16.05,-25.68,-37.9,-44.26,2.26,3.62,2.71,158.1,-17.71,0.67
Sembcorp Marine,S51,SCMN.SI,1421.815,2882.56,,,Industrial Goods,79,-9.33,-37.04,-46.03,-52.45,-4.86,-6.12,13.9,182.96,-41.03,1.39
Sen Yue,5BS,SENY.SI,21.654,243.442,733.33,,Mineral Resources,64,0,-21.43,-18.52,46.67,0.01,0.05,6.63,147.73,1.09,0.48
Serial System,S69,SERL.SI,54.347,1121.987,4.72,5.83,Industrial Goods,44,-9.09,-24.05,-25,-33.33,0.83,5.82,3.43,157.27,-48.16,0.41
Seroja Inv,IW5,SERO.SI,28.108,0,,,Transportation,61,56.52,2.86,-1.37,84.62,,-11.46,1.75,22.29,,0.28
Serrano,40R,SERR.SI,169.328,5.05,,,Industrial & Commercial Services,15,,,,,-66.11,-180.02,,62.31,251.59,
SEVAK,BAI,SEVA.SI,16.921,290.848,14.78,,Telecommunications Services,52,-34.01,-44.21,-52.73,-63.69,0.36,2.53,6.34,12.04,3.48,1.08
SGX,S68,SGXL.SI,8873.199,1022.328,19.58,3.62,Banking & Investment Services,121,-14.2,-2.47,-6.44,11.14,44.47,44.07,16.5,0,16.87,7.99
Shanghai Turbo,AWM,SHTU.SI,27.468,2.817,,,Industrial Goods,27,0,0,0,0,-388.02,-49.41,,11.53,-47.36,
Shangri-La HKD,S07,0069.HK,23879.598,18848.246,20.12,1.2,Cyclical Consumer Services,,4.39,-2.06,-17.98,-33.4,6.98,2.44,6.04,81.65,-3.44,0.84
Sheng Siong,OV8,SHEN.SI,2360.553,991.284,31.18,2.26,Food & Drug Retailing,61,6.08,26.61,25.6,44.04,7.64,25.1,20.09,0,11.26,5.49
Shinvest,BJW,SHIN.SI,79.548,14.997,0.49,3.38,Industrial Goods,34,6.4,-22.9,18.22,177.08,1083.1,132.23,0.49,23.66,-14.35,0.48
Shopper360,1F0,SHOP.SI,10.868,55.659,6.04,2.95,Cyclical Consumer Services,53,-3.06,-20.83,-24,-20.83,3.61,10.7,3.79,0.44,13,1.14
SHS,566,SEEH.SI,115.123,26.39,,,Industrial & Commercial Services,50,0.62,-4.14,-4.71,-7.43,-26.09,-2.25,,11.26,-43.38,0.68
SIA,C6L,SIAL.SI,11374.216,15975.9,,2.09,Transportation,99,-11.26,-32.23,-41,-40.68,-1.06,-1.88,5.62,50.08,-2.13,0.86
SIA Engineering,S59,SIAE.SI,2023.409,994.1,10.43,6.11,Transportation,92,-3.74,-26.23,-36.17,-25.62,19.16,12.28,7.59,1.26,-2.62,1.8
SIIC Environment,BHK,SIIC.SI,585.634,1126.136,5.09,8.89,Utilities,49,-2.17,-8.16,-11.76,-23.73,12.89,7.05,2.73,167.83,3.75,0.54
Silkroad Nickel,STP,SILK.SI,47.018,21.966,,,Mineral Resources,38,-5.26,-10,-34.55,-41.94,0.89,1.11,25.36,1.45,277.56,2.65
Silverlake Axis,5CP,SLVX.SI,633.671,227.986,8.67,7.23,Software & IT Services,88,-2.08,-21.67,-44.71,-55.66,31.47,38.31,7.76,8.78,13.46,6.54
Sim Leisure,URR,SIMI.SI,39.865,7.125,2588.46,,Cyclical Consumer Services,,23.16,28.76,31.76,23.16,1.05,0.55,45.78,47.46,3.8,
Sin Ghee Huat,B7K,SGHC.SI,35.52,44.6,23.05,3.75,Mineral Resources,43,-13.51,-25.58,-21.95,-27.27,3.45,1.82,15.33,0.85,-9.36,0.59
